Month,Temp,Precip,Deer,Height,Rabbit
 1,-17.777779,    0.00,       1,    0.00, 2
 2,4.838573,   23.61,       0,   20.09, 3
 3,11.381331,   31.63,       1,   24.62, 4
 4,13.628757,   37.51,       2,   23.26, 5
 5,23.237940,   31.25,       3,   18.18, 6
 6,21.086214,   16.96,       4,   10.57, 7
 7,31.095179,   17.78,       5,    0.41, 7
 8,24.427074,    6.79,       4,    0.00, 2
 9,22.135256,    0.00,       3,    0.00, 2
10,15.298153,    0.00,       2,    0.00, 3
11,9.906133,    5.54,       1,    0.00, 4
12,6.359711,   17.98,       0,   16.10, 5
13,2.534163,   19.34,       1,   35.29, 6
14,6.337636,   28.98,       2,   52.70, 7
15,7.227364,   37.58,       3,   61.75, 8
16,13.019123,   35.98,       4,   55.91, 9
17,27.328636,   28.22,       5,   45.75, 4
18,21.328142,   26.57,       6,   33.05, 4
19,22.918671,   17.46,       7,   17.81, 0
20,19.459118,   10.06,       8,    0.04, 0
21,20.980183,    7.99,       7,    0.00, 0
22,9.162074,    3.06,       6,    0.00, 0
23,7.363949,   11.79,       5,    0.00, 0
24,4.276047,    9.73,       4,    2.91, 0
25,10.090620,   20.61,       3,    0.60, 0
26,9.706262,   23.75,       2,    2.26, 1
27,9.693578,   32.18,       1,    5.90, 2
28,13.964214,   31.64,       2,    4.50, 3
29,26.704458,   26.69,       1,    0.00, 4
30,29.382889,   25.06,       0,    0.00, 5
31,26.145176,   12.51,       0,    0.00, 6
32,24.555023,    2.17,       1,    0.00, 7
33,21.888119,    1.59,       0,    0.00, 8
34,16.081001,    0.77,       0,    0.11, 9
35,11.696786,   11.59,       1,    3.21,10
36,7.903892,   15.67,       2,   14.06,11
37,8.547329,   26.41,       3,   22.21,12
38,9.981310,   24.23,       4,   23.04,13
39,13.089312,   37.15,       5,   14.52, 8
40,17.520937,   31.68,       6,    1.90, 3
41,22.096931,   31.98,       5,    0.00, 3
42,23.399866,   24.02,       4,    0.00, 3
43,25.528204,    9.94,       3,    0.00, 3
44,20.344666,    5.07,       2,    0.00, 4
45,15.595779,    1.81,       1,    0.00, 5
46,16.096893,    1.18,       0,    0.00, 6
47,10.756921,    4.80,       0,    3.26, 7
48,10.338031,   15.19,       1,    9.57, 8
49,5.944280,   21.82,       2,   27.86, 9
50,11.411353,   25.50,       3,   27.53,10
51,7.524020,   34.84,       4,   34.55,11
52,15.074780,   30.40,       5,   24.96,11
53,26.416147,   25.66,       6,   12.26,11
54,24.168285,   17.26,       5,    0.00,11
55,26.927952,   12.99,       4,    0.00, 6
56,19.145016,    8.89,       3,    0.00, 6
57,23.541887,    7.05,       2,    0.00, 7
58,8.636828,    8.12,       1,    3.06, 8
59,2.454075,    3.43,       2,   10.03, 9
60,5.078322,   15.27,       3,   24.20,10
61,10.258003,   22.52,       4,   24.13,11
62,9.704708,   30.33,       5,   22.95,11
63,11.146972,   36.71,       6,   14.63, 6
64,18.768761,   36.74,       5,    0.00, 6
65,21.002396,   25.60,       4,    0.00, 1
66,25.974901,   24.84,       3,    0.00, 1
67,22.529055,   13.98,       2,    0.00, 2
68,26.891378,    2.58,       1,    0.00, 3
69,18.204922,    0.00,       0,    0.00, 4
70,17.156622,    0.97,       0,    0.05, 5
71,9.762485,    2.59,       1,    4.13, 6
72,8.392156,   11.22,       2,   11.70, 7
73,2.714793,   21.65,       3,   26.92, 8
