Threads, Nodes, Volume, MegaHeightsPerSecond
1, 4,     3.53,     5.68
1, 16,     6.19,     5.21
1, 32,     6.39,     4.93
1, 64,     6.45,     4.80
1, 256,     6.48,     4.81
1, 1024,     6.49,     4.75
2, 4,     3.53,     2.77
2, 16,     6.19,     3.01
2, 32,     6.39,     2.90
2, 64,     6.45,     3.09
2, 256,     6.48,     6.23
2, 1024,     6.48,     9.40
4, 4,     3.53,     2.86
4, 16,     6.19,     5.37
4, 32,     6.39,     5.51
4, 64,     6.45,     5.91
4, 256,     6.48,     9.45
4, 1024,     6.48,    18.38
8, 4,     3.53,     2.44
8, 16,     6.19,     9.08
8, 32,     6.39,    10.62
8, 64,     6.45,    10.73
8, 256,     6.48,    15.00
8, 1024,     6.48,    36.62
