ArraySize, speedupSIMD, speedupNORM, maxMultiplicationSIMD, maxMultiplicationNORMAL
   10000,     2.55,    0.39,   479.02,  188.18 
   50000,     2.55,    0.39,   763.61,  299.07 
  100000,     2.58,    0.39,   311.10,  120.65 
  800000,     2.45,    0.41,   583.65,  238.48 
 1600000,     2.51,    0.40,   584.53,  232.92 
 2400000,     2.48,    0.40,   778.22,  313.91 
 3200000,     2.47,    0.41,   782.61,  317.14 
 5000000,     2.52,    0.40,   949.38,  377.01 
 6000000,     2.51,    0.40,   963.50,  383.73 
 8000000,     2.51,    0.40,   955.47,  380.52 
